Player,Season,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Jimmy Garoppolo,2016,NWE,QB,25,6,2,1,1,502,4,63,6,0,10,3,0,35,0,2,1
Cobi Hamilton,2016,PIT,WR,26,11,8,28,17,0,0,0,0,0,0,234,2,35,0,0,0
Darrius Heyward-Bey,2016,PIT,WR,29,10,0,19,6,0,0,0,60,1,1,114,2,35,0,0,0
Paul Richardson,2016,SEA,WR,24,15,0,36,21,0,0,0,5,0,1,288,1,35,0,0,0
Andre Roberts,2016,DET,WR,28,16,1,25,14,0,0,0,0,0,0,188,1,35,0,2,1
Deonte Thompson,2016,CHI,WR,27,16,6,36,22,0,0,0,0,0,0,249,2,35,0,1,1
Landry Jones,2016,PIT,QB,27,8,2,0,0,558,4,86,-4,0,6,0,0,34,2,0,0
Bryan Walters,2016,JAX,WR,29,10,3,34,24,0,0,0,4,0,1,231,2,34,0,1,1
Geronimo Allison,2016,GNB,WR,22,10,2,22,12,0,0,0,0,0,0,202,2,32,0,0,0
Corey Brown,2016,CAR,WR,25,16,8,53,27,0,0,0,6,0,2,276,1,32,0,1,1
Corey Grant,2016,JAX,RB,25,11,1,7,4,0,0,0,164,1,32,35,1,32,0,0,0
Bryce Petty,2016,NYJ,QB,25,6,4,0,0,809,3,133,19,0,5,0,0,32,7,1,1
Peyton Barber,2016,TAM,RB,22,15,1,6,5,0,0,0,223,1,55,28,0,31,0,0,0
Eric Decker,2016,NYJ,WR,29,3,3,21,9,0,0,0,0,0,0,194,2,31,0,0,0
Rod Streater,2016,SFO,WR,28,16,2,27,18,0,0,0,0,0,0,191,2,31,0,0,0
Jordan Taylor,2016,DEN,WR,24,16,0,25,16,0,0,0,0,0,0,209,2,31,0,1,1
Virgil Green,2016,DEN,TE,28,12,11,37,22,0,0,0,0,0,0,237,1,30,0,0,0
Kenjon Barner,2016,PHI,RB,27,13,0,11,5,0,0,0,129,2,27,42,0,29,0,0,0
C.J. Uzomah,2016,CIN,TE,23,10,8,38,25,0,0,0,0,0,0,234,1,29,0,0,0
Cameron Artis-Payne,2016,CAR,RB,26,3,3,1,1,0,0,0,144,2,36,11,0,28,0,0,0
Jacoby Brissett,2016,NWE,QB,24,3,2,0,0,400,0,55,83,1,16,0,0,28,0,3,1
Nick Foles,2016,KAN,QB,27,3,1,0,0,410,3,55,-4,0,4,0,0,28,0,0,0
Paxton Lynch,2016,DEN,QB,22,3,2,0,0,497,2,83,25,0,11,0,0,28,1,2,0
Tanner McEvoy,2016,SEA,WR,23,14,0,11,9,43,0,1,0,0,0,140,2,28,0,0,0
Kerwynn Williams,2016,ARI,RB,25,10,0,2,1,0,0,0,157,2,18,6,0,28,0,0,0
Bennie Fowler,2016,DEN,WR,25,13,0,24,11,0,0,0,0,0,0,145,2,27,0,0,0
DuJuan Harris,2016,SFO,RB,28,10,1,9,8,0,0,0,138,0,38,115,1,27,0,2,2
Chester Rogers,2016,IND,WR,22,14,2,34,19,0,0,0,0,0,0,273,0,27,0,2,0
Shane Vereen,2016,NYG,RB,27,5,1,19,11,0,0,0,158,1,33,94,0,27,0,2,2
Kapri Bibbs,2016,DEN,RB,23,12,0,4,2,0,0,0,129,0,29,75,1,26,0,0,0
Demetrius Harris,2016,KAN,TE,25,16,11,31,17,0,0,0,0,0,0,123,1,26,0,1,0
Jaron Brown,2016,ARI,WR,26,7,2,22,11,0,0,0,0,0,0,187,1,25,0,0,0
Alex Collins,2016,SEA,RB,22,11,0,11,11,0,0,0,125,1,31,84,0,25,0,2,1
Seth Devalve,2016,CLE,TE,23,12,2,12,10,0,0,0,0,0,0,127,2,25,0,0,0
Josh Huff,2016,2TM,WR,25,10,2,23,16,0,0,1,15,0,4,113,1,25,0,0,0
Jeff Janis,2016,GNB,WR,25,16,1,19,11,0,0,0,38,1,2,93,1,25,0,0,0
Charone Peake,2016,NYJ,WR,24,15,1,35,19,0,0,0,0,0,0,186,0,25,0,0,0
Mychal Rivera,2016,OAK,TE,26,13,2,25,18,0,0,0,0,0,0,192,1,25,0,0,0
Mike Tolbert,2016,CAR,RB,31,16,2,15,10,0,0,0,114,0,35,72,1,25,0,0,0
Luke Willson,2016,SEA,TE,26,11,6,21,15,0,0,0,0,0,0,129,2,25,0,0,0
Orleans Darkwa,2016,NYG,RB,24,10,2,4,2,0,0,0,111,2,30,12,0,24,0,0,0
Kenneth Farrow,2016,SDG,RB,23,13,2,16,13,0,0,0,192,0,60,70,0,24,0,2,1
Xavier Grimble,2016,PIT,TE,24,13,2,21,11,0,0,0,0,0,0,118,2,24,0,0,0
Jalin Marshall,2016,NYJ,WR,21,10,1,23,14,0,0,0,0,0,0,162,2,24,0,4,2
Charles Johnson,2016,MIN,WR,27,16,7,37,20,0,0,0,0,0,0,232,0,23,0,0,0
Marcedes Lewis,2016,JAX,TE,32,10,10,30,20,0,0,0,0,0,0,169,1,23,0,0,0
Jordan Norwood,2016,DEN,WR,30,14,6,35,21,0,0,0,0,0,1,232,1,23,0,5,3
Ameer Abdullah,2016,DET,RB,23,2,2,5,5,0,0,0,101,0,18,57,1,22,0,0,0
Ronnie Hillman,2016,2TM,RB,25,8,1,15,7,0,0,0,131,0,41,93,0,22,0,0,0
Ben Koyack,2016,JAX,TE,23,14,7,24,19,0,0,0,0,0,0,161,1,22,0,0,0
Roger Lewis,2016,NYG,WR,23,13,1,19,7,0,0,0,0,0,0,97,2,22,0,0,0
Marquess Wilson,2016,CHI,WR,24,3,1,16,9,0,0,0,0,0,0,160,1,22,0,0,0
Harry Douglas,2016,TEN,WR,32,11,2,22,15,0,0,0,0,0,0,210,0,21,0,0,0
Lance Dunbar,2016,DAL,RB,26,13,0,24,16,0,0,0,31,1,9,122,0,21,0,1,0
Darren Fells,2016,ARI,TE,30,14,7,18,14,0,0,0,0,0,0,154,1,21,0,0,0
Josh Hill,2016,NOR,TE,26,9,8,22,15,0,0,0,0,0,0,149,1,21,0,0,0
Andre Johnson,2016,TEN,WR,35,8,4,22,9,0,0,0,0,0,0,85,2,21,0,0,0
Ricardo Louis,2016,CLE,WR,22,16,3,35,18,0,0,0,0,0,0,205,0,21,0,1,0
Austin Seferian-Jenkins,2016,2TM,TE,24,9,2,20,13,0,0,0,0,0,0,154,1,21,0,0,0
Darren Waller,2016,BAL,TE,24,12,3,17,10,0,0,0,0,0,0,85,2,21,0,0,0
Danny Woodhead,2016,SDG,WR,31,2,1,8,6,0,0,0,116,0,19,35,1,21,0,0,0
Cody Core,2016,CIN,WR,22,8,4,27,17,0,0,0,0,0,0,200,0,20,0,0,0
Anthony Fasano,2016,TEN,TE,32,16,10,13,8,0,0,0,0,0,0,83,2,20,0,0,0
Jonathan Grimes,2016,HOU,RB,27,10,0,18,13,0,0,0,105,0,23,94,0,20,0,0,0
Freddie Martino,2016,TAM,WR,25,13,0,11,8,0,0,0,0,0,0,142,1,20,0,0,0
Bobby Rainey,2016,NYG,RB,29,15,0,25,20,0,0,0,63,0,17,153,0,20,0,1,1
Kevin White,2016,CHI,WR,24,4,4,36,19,0,0,0,9,0,1,187,0,20,0,0,0
Benny Cunningham,2016,LAR,RB,26,11,0,21,16,0,0,0,101,0,21,91,0,19,0,1,0
Ed Dickson,2016,CAR,TE,29,16,8,19,10,0,0,0,0,0,0,134,1,19,0,0,0
Jerell Adams,2016,NYG,TE,24,13,2,21,16,0,0,0,0,0,0,122,1,18,0,1,0
Arrelious Benn,2016,JAX,WR,28,15,0,10,5,0,0,0,0,0,0,116,1,18,0,0,0
Daniel Brown,2016,2TM,TE,24,8,3,20,16,0,0,0,0,0,0,124,1,18,0,0,0
Ka'Deem Carey,2016,CHI,RB,24,12,0,7,5,0,0,0,126,0,32,55,0,18,0,0,0
Andre Ellington,2016,ARI,RB,27,16,0,19,12,0,0,0,96,0,34,85,0,18,0,0,0
Tom Savage,2016,HOU,QB,26,3,2,0,0,461,0,73,12,0,6,0,0,18,0,1,1
Derek Anderson,2016,CAR,QB,33,5,2,0,0,453,2,53,4,0,1,0,0,17,5,1,1
Reggie Bush,2016,BUF,RB,31,13,0,10,7,0,0,0,-3,1,12,90,0,17,0,1,0
MarQueis Gray,2016,MIA,TE,27,16,7,17,14,0,0,0,0,0,0,174,0,17,0,0,0
Kevin Hogan,2016,CLE,QB,24,4,0,0,0,104,0,26,105,1,8,0,0,17,2,0,0
Vincent Jackson,2016,TAM,WR,33,5,5,32,15,0,0,0,0,0,0,173,0,17,0,0,0
Denard Robinson,2016,JAX,RB,26,13,1,5,3,0,0,0,144,0,41,22,0,17,0,0,0
Brandon Tate,2016,BUF,WR,29,15,1,12,8,0,0,0,48,0,3,117,0,17,0,0,0
Matt Cassel,2016,TEN,QB,34,4,1,0,0,284,2,51,3,0,4,0,0,16,2,1,0
Brent Celek,2016,PHI,TE,31,16,8,19,14,0,0,0,0,0,0,155,0,16,0,1,0
Josh Ferguson,2016,IND,RB,23,16,0,26,20,0,0,0,20,0,15,136,0,16,0,1,0
Chris Johnson,2016,ARI,RB,31,4,0,1,0,0,0,0,95,1,25,0,0,16,0,0,0
Braxton Miller,2016,HOU,WR,24,10,6,28,15,0,0,0,0,0,3,99,1,16,0,0,0
Terron Ward,2016,ATL,RB,24,5,0,2,1,0,0,0,151,0,31,11,0,16,0,0,0
Stephen Anderson,2016,HOU,TE,23,13,0,16,11,0,0,0,0,0,0,93,1,15,0,0,0
Tyler Higbee,2016,LAR,TE,23,16,7,29,11,0,0,0,0,0,0,85,1,15,0,0,0
Greg Salas,2016,BUF,WR,28,2,1,6,4,0,0,0,0,0,0,89,1,15,0,0,0
Cecil Shorts,2016,TAM,WR,29,9,5,27,11,0,0,0,0,0,0,152,0,15,0,0,0
Mack Brown,2016,WAS,RB,25,9,0,1,1,0,0,0,82,1,8,-2,0,14,0,0,0
A.J. Derby,2016,2TM,TE,25,10,3,20,16,0,0,0,0,0,0,160,0,14,0,1,1
Jeff Heuerman,2016,DEN,TE,24,12,2,17,9,0,0,0,0,0,0,141,0,14,0,0,0
Akeem Hunt,2016,HOU,RB,23,8,0,4,3,0,0,0,109,0,20,29,0,14,0,2,0
Andy Janovich,2016,DEN,RB,23,11,5,7,5,0,0,0,33,1,4,44,0,14,0,0,0
Brandon Myers,2016,TAM,TE,31,16,9,14,7,0,0,0,0,0,0,59,1,14,0,0,0
Walt Powell,2016,BUF,WR,25,9,2,25,14,0,0,0,0,0,0,142,0,14,0,0,0
Larry Donnell,2016,NYG,TE,28,14,6,22,15,0,0,0,0,0,0,92,1,13,0,1,1
Arian Foster,2016,MIA,RB,30,4,2,10,6,0,0,0,55,0,22,78,0,13,0,1,0
Crockett Gillmore,2016,BAL,TE,25,7,5,14,8,0,0,0,0,0,0,71,1,13,0,0,0
Chris Harper,2016,SFO,WR,23,9,2,21,13,0,0,0,0,0,0,133,0,13,0,0,0
Chris Moore,2016,BAL,WR,23,15,0,16,7,0,0,0,19,0,3,46,0,13,0,1,0
Nick O'Leary,2016,BUF,RB,24,16,7,14,9,0,0,0,0,0,0,114,0,13,0,0,0
John Phillips,2016,2TM,TE,29,16,7,15,10,0,0,0,0,0,0,72,1,13,0,0,0
C.J. Spiller,2016,2TM,RB,29,6,0,13,6,0,0,0,18,0,6,50,1,13,0,1,0
Jaelen Strong,2016,HOU,WR,22,8,2,24,14,0,0,0,0,0,0,131,0,13,0,0,0
Paul Turner,2016,PHI,WR,23,4,2,14,9,0,0,0,0,0,0,126,0,13,0,0,0
Markus Wheaton,2016,PIT,WR,25,3,2,9,4,0,0,0,0,0,0,51,1,13,0,0,0
Jarius Wright,2016,MIN,WR,27,8,1,14,11,0,0,0,0,0,0,67,1,13,0,0,0
Jordan Cameron,2016,MIA,TE,28,3,3,11,8,0,0,0,0,0,0,60,1,12,0,0,0
Mike Davis,2016,SFO,RB,23,8,1,5,3,0,0,0,50,1,19,25,0,12,0,1,1
Rhett Ellison,2016,MIN,RB,28,15,6,14,9,0,0,0,1,1,1,57,0,12,0,0,0
Brittan Golden,2016,ARI,WR,28,12,1,14,8,0,0,0,0,0,0,82,1,12,0,1,1
Dominique Jones,2016,MIA,TE,29,9,2,10,7,0,0,0,0,0,0,61,1,12,0,0,0
Jordan Todman,2016,IND,RB,26,16,0,1,0,0,0,0,59,0,9,0,0,12,0,0,0
Jamaal Charles,2016,KAN,RB,30,3,0,3,2,0,0,0,40,1,12,14,0,11,0,0,0
Patrick DiMarco,2016,ATL,RB,27,16,8,10,7,0,0,0,0,0,0,52,1,11,0,0,0
Neal Sterling,2016,JAX,WR,24,10,1,16,12,0,0,0,0,0,0,110,0,11,0,0,0
Lucky Whitehead,2016,DAL,WR,24,15,1,3,3,0,0,0,82,0,10,48,0,11,0,3,1
Jonathan Williams,2016,BUF,RB,22,11,0,2,1,0,0,1,94,1,27,0,0,11,0,2,2
Demarcus Ayers,2016,PIT,WR,22,2,1,13,6,0,0,0,-12,0,2,53,1,10,0,0,0
Alan Cross,2016,TAM,TE,23,14,0,10,6,0,0,0,0,0,0,38,1,10,0,0,0
Shaun Hill,2016,MIN,QB,36,3,1,0,0,242,0,35,5,0,5,0,0,10,0,0,0
David Johnson,2016,PIT,TE,29,16,5,11,7,0,0,0,0,0,0,80,0,10,0,0,0
Darren McFadden,2016,DAL,RB,29,3,1,5,3,0,0,0,87,0,24,17,0,10,0,0,0
Joshua Perkins,2016,ATL,TE,23,8,1,5,3,0,0,0,0,0,0,42,1,10,0,0,0
Antone Smith,2016,TAM,RB,31,3,0,9,6,0,0,0,47,0,10,77,0,10,0,2,1
James Wright,2016,CIN,WR,25,13,2,19,13,0,0,0,-6,0,2,106,0,10,0,0,0
George Atkinson,2016,CLE,RB,24,16,0,0,0,0,0,0,34,1,7,0,0,9,0,1,0
Blake Bell,2016,SFO,TE,25,13,0,9,4,0,0,0,0,0,0,85,0,9,0,0,0
Leonte Carroo,2016,MIA,WR,22,14,2,6,3,0,0,0,0,0,0,29,1,9,0,0,0
Pharoh Cooper,2016,LAR,WR,21,10,3,20,14,0,0,1,0,0,0,106,0,9,1,0,0
Gavin Escobar,2016,DAL,TE,25,16,1,7,4,0,0,0,0,0,0,30,1,9,0,0,0
Mike Glennon,2016,TAM,QB,27,2,0,0,0,75,1,11,0,0,0,0,0,9,0,0,0
T.J. Jones,2016,DET,WR,24,3,0,14,5,0,0,0,0,0,0,93,0,9,0,0,0
Tyler Kroft,2016,CIN,TE,24,14,11,12,10,0,0,0,0,0,0,92,0,9,0,0,0
Tommylee Lewis,2016,NOR,WR,24,12,1,11,7,0,0,0,11,0,3,76,0,9,0,2,0
Marcel Reece,2016,SEA,RB,31,4,0,5,5,0,0,0,0,0,2,73,0,9,0,0,0
Drew Stanton,2016,ARI,QB,32,5,1,0,0,192,2,48,-3,0,3,0,0,9,3,0,0
Juwan Thompson,2016,DEN,RB,24,8,1,1,0,0,0,0,26,1,8,0,0,9,0,0,0
Fitzgerald Toussaint,2016,PIT,RB,26,16,0,3,3,0,0,0,58,0,14,33,0,9,0,0,0
Bryce Treggs,2016,PHI,WR,22,9,1,12,3,0,0,0,7,0,2,80,0,9,0,0,0
Terrell Watson,2016,PHI,RB,23,1,0,1,1,0,0,0,28,1,9,5,0,9,0,0,0
Derek Watt,2016,SDG,RB,24,16,2,4,4,0,0,0,4,0,2,83,0,9,0,0,0
Charlie Whitehurst,2016,CLE,QB,34,1,0,0,0,182,1,24,1,0,2,0,0,9,1,0,0
Andre Williams,2016,SDG,RB,24,1,0,2,0,0,0,0,87,0,18,0,0,9,0,0,0
Trevone Boykin,2016,SEA,QB,23,5,0,0,0,145,1,18,1,0,8,0,0,8,1,1,0
Ryan Grant,2016,WAS,WR,26,16,1,19,9,0,0,0,0,0,0,76,0,8,0,0,0
Connor Hamlett,2016,CLE,TE,24,3,2,1,1,0,0,0,0,0,0,17,1,8,0,0,0
Rashard Higgins,2016,CLE,WR,22,16,0,12,6,0,0,0,0,0,0,77,0,8,0,0,0
Cody Latimer,2016,DEN,WR,24,12,1,15,8,0,0,0,0,0,0,76,0,8,0,0,0
Matt Lengel,2016,NWE,TE,26,6,0,3,2,0,0,0,0,0,0,22,1,8,0,0,0
Geno Smith,2016,NYJ,QB,26,2,1,0,0,126,1,14,9,0,2,0,0,8,1,1,0
Wendall Williams,2016,HOU,WR,26,3,0,7,4,0,0,0,0,0,0,75,0,8,0,0,0
Malcolm Brown,2016,LAR,RB,23,16,0,3,3,0,0,0,39,0,18,46,0,7,0,1,1
Aaron Burbridge,2016,SFO,WR,23,16,3,16,7,0,0,0,0,0,0,88,0,7,0,1,1
Michael Campanaro,2016,BAL,WR,25,3,0,1,0,0,0,0,72,0,3,0,0,7,0,0,0
Josh Doctson,2016,WAS,WR,24,2,0,6,2,0,0,0,0,0,0,66,0,7,0,0,0
Alex Erickson,2016,CIN,WR,24,16,0,8,6,0,0,0,0,0,0,71,0,7,0,3,0
Jerome Felton,2016,BUF,RB,30,15,4,9,6,0,0,0,13,0,8,57,0,7,0,0,0
Maurice Harris,2016,WAS,WR,24,10,0,12,8,0,0,0,0,0,0,66,0,7,0,1,0
EJ Manuel,2016,BUF,QB,26,6,1,0,0,131,0,26,22,0,8,0,0,7,0,2,1
Byron Marshall,2016,PHI,RB,22,3,0,5,3,0,0,0,64,0,19,10,0,7,0,0,0
Keith Mumphery,2016,HOU,WR,24,11,3,12,10,0,0,0,0,0,0,69,0,7,0,0,0
Geoff Swaim,2016,DAL,TE,23,9,6,8,6,0,0,0,0,0,0,69,0,7,0,0,0
Keenan Allen,2016,SDG,WR,24,1,1,7,6,0,0,0,0,0,0,63,0,6,0,0,0
Jace Amaro,2016,TEN,TE,24,3,0,4,3,0,0,0,0,0,0,59,0,6,0,0,0
Brandon Bostick,2016,NYJ,TE,27,16,7,11,8,0,0,0,0,0,0,63,0,6,0,0,0
Connor Cook,2016,OAK,QB,23,1,0,0,0,150,1,21,0,0,0,0,0,6,1,2,1
Trevor Davis,2016,GNB,WR,23,11,0,7,3,0,0,0,0,0,0,24,1,6,0,2,1
Johnny Holton,2016,OAK,WR,26,15,0,3,2,0,0,0,43,0,6,34,0,6,0,1,1
Adrian Peterson,2016,MIN,RB,31,3,3,6,3,0,0,0,72,0,37,8,0,6,0,1,1
Phillip Supernaw,2016,TEN,TE,26,15,2,5,4,0,0,0,0,0,0,62,0,6,0,0,0
De'Anthony Thomas,2016,KAN,WR,23,12,0,9,7,0,0,0,29,0,4,35,0,6,0,0,0
D.J. Tialavea,2016,ATL,TE,25,2,0,1,1,0,0,0,0,0,0,1,1,6,0,0,0
Nick Williams,2016,ATL,WR,26,2,0,7,5,0,0,0,0,0,0,59,0,6,0,0,0
Javorius Allen,2016,BAL,RB,25,8,0,4,3,0,0,0,34,0,9,15,0,5,0,0,0
Knile Davis,2016,2TM,RB,25,11,0,7,5,0,0,0,28,0,18,25,0,5,0,0,0
Dwayne Harris,2016,NYG,WR,29,16,1,1,1,0,0,0,0,0,0,13,1,5,0,3,1
Tavarres King,2016,NYG,WR,26,7,0,4,2,0,0,0,0,0,0,50,0,5,0,0,0
Ifeanyi Momah,2016,ARI,WR,27,5,1,4,2,0,0,0,0,0,0,50,0,5,0,0,0
Troymaine Pope,2016,2TM,RB,23,4,0,2,1,0,0,0,44,0,12,5,0,5,0,0,0
Tony Romo,2016,DAL,QB,36,1,0,0,0,29,1,4,0,0,0,0,0,5,0,0,0
Brandon Wilds,2016,NYJ,RB,23,4,0,2,2,0,0,0,27,0,10,20,0,5,0,0,0
Nick Boyle,2016,BAL,TE,23,6,0,6,6,0,0,0,0,0,0,44,0,4,0,0,0
Ben Braunecker,2016,CHI,TE,22,13,2,6,4,0,0,0,0,0,0,41,0,4,0,0,0
Quan Bray,2016,IND,WR,23,6,0,4,3,0,0,0,7,0,1,36,0,4,0,0,0
Jakeem Grant,2016,MIA,WR,24,16,0,1,0,0,0,0,1,0,1,0,0,4,0,4,1
Mike James,2016,TAM,RB,25,4,0,4,4,0,0,0,19,0,4,22,0,4,0,0,0
Taiwan Jones,2016,OAK,RB,28,13,0,4,4,0,0,0,-8,0,1,43,0,4,0,0,0
Daniel Lasco,2016,NOR,RB,24,7,0,4,2,0,0,0,32,0,11,11,0,4,0,0,0
Bradley Marquez,2016,LAR,WR,24,14,0,7,3,0,0,0,2,0,1,37,0,4,0,0,0
Dexter McCluster,2016,SDG,WR,27,6,0,11,7,0,0,0,2,0,3,36,0,4,0,0,0
Justin Perillo,2016,GNB,TE,25,9,1,5,4,0,0,0,0,0,0,35,0,4,0,0,0
Brandon Williams,2016,SEA,TE,29,16,1,3,2,0,0,0,0,0,0,36,0,4,0,0,0
D.J. Foster,2016,NWE,RB,23,3,0,2,1,0,0,0,24,0,7,2,0,3,0,0,0
Don Jackson,2016,GNB,RB,23,3,1,1,0,0,0,0,32,0,10,0,0,3,0,0,0
Malcolm Johnson,2016,CLE,RB,24,7,1,7,5,0,0,0,2,0,1,44,0,3,0,1,1
Sean McGrath,2016,SDG,TE,29,16,5,2,2,0,0,0,0,0,0,25,0,3,0,0,0
Niles Paul,2016,WAS,WR,27,8,1,2,2,0,0,0,0,0,0,27,0,3,0,0,0
Isaiah Pead,2016,MIA,RB,27,3,0,1,1,0,0,0,22,0,8,6,0,3,0,0,0
Lee Smith,2016,OAK,TE,29,4,4,6,6,0,0,0,0,0,0,29,0,3,0,0,0
Nick Vannett,2016,SEA,TE,23,9,2,4,3,0,0,0,0,0,0,32,0,3,0,0,0
Danny Vitale,2016,CLE,RB,23,9,3,5,4,0,0,0,0,0,0,27,0,3,0,0,0
Antonio Andrews,2016,TEN,RB,24,16,0,0,0,0,0,0,15,0,2,0,0,2,0,0,0
Brenton Bersin,2016,CAR,WR,26,10,0,6,2,0,0,0,0,0,0,17,0,2,0,0,0
Brandon Bolden,2016,NWE,RB,26,14,0,4,2,0,0,0,4,0,1,15,0,2,0,0,0
Damiere Byrd,2016,CAR,WR,23,1,0,1,1,0,0,0,0,0,0,16,0,2,0,0,0
James Develin,2016,NWE,TE,28,16,4,6,3,0,0,0,0,0,0,18,0,2,0,0,0
Jalston Fowler,2016,TEN,RB,26,16,6,2,1,0,0,0,3,0,1,14,0,2,0,0,0
Clay Harbor,2016,2TM,TE,29,15,2,3,3,0,0,0,0,0,0,19,0,2,0,0,0
Percy Harvin,2016,BUF,WR,28,2,1,4,2,0,0,0,11,0,1,6,0,2,0,0,0
Cardale Jones,2016,BUF,QB,24,1,0,0,0,96,0,11,-1,0,1,0,0,2,1,0,0
Zach Line,2016,MIN,RB,26,15,4,3,0,0,0,0,15,0,7,0,0,2,0,0,0
Marc Mariani,2016,TEN,WR,29,16,0,0,0,0,0,0,15,0,1,0,0,2,0,1,0
Matt McGloin,2016,OAK,QB,27,3,1,0,0,50,0,15,-3,0,3,0,0,2,0,0,0
J.D. McKissic,2016,SEA,WR,23,1,0,2,2,0,0,0,2,0,1,16,0,2,0,0,0
Logan Paulsen,2016,CHI,TE,29,16,12,10,3,0,0,0,0,0,0,15,0,2,0,0,0
Cedric Peerman,2016,CIN,RB,30,6,0,1,0,0,0,0,15,0,6,0,0,2,0,0,0
Jay Prosch,2016,HOU,RB,24,15,1,1,1,0,0,0,9,0,4,6,0,2,0,0,0
DeAndre Smelter,2016,SFO,WR,25,2,0,1,1,0,0,0,0,0,0,23,0,2,0,0,0
Devin Smith,2016,NYJ,WR,24,4,0,3,1,0,0,0,0,0,0,20,0,2,0,0,0
Luke Stocker,2016,TAM,TE,28,12,10,8,5,0,0,0,0,0,0,23,0,2,0,0,0
Devin Street,2016,IND,WR,25,5,0,6,1,0,0,0,0,0,0,20,0,2,0,0,0
Mike Thomas,2016,LAR,WR,22,15,0,9,3,0,0,0,0,0,0,37,0,2,0,1,1
Ross Travis,2016,KAN,TE,23,6,3,6,3,0,0,0,0,0,0,15,0,2,0,0,0
Laquon Treadwell,2016,MIN,WR,21,9,1,3,1,0,0,0,0,0,0,15,0,2,0,0,0
Griff Whalen,2016,SDG,WR,26,8,0,4,2,0,0,0,0,0,0,22,0,2,0,0,0
Cole Wick,2016,DET,TE,23,6,0,3,2,0,0,0,0,0,0,18,0,2,0,0,0
Shane Wynn,2016,JAX,WR,24,5,0,3,1,0,0,0,5,0,2,19,0,2,0,0,0
Jared Abbrederis,2016,GNB,WR,26,5,0,2,1,0,0,0,0,0,0,8,0,1,0,0,0
Joe Banyard,2016,JAX,RB,28,1,0,0,0,0,0,0,7,0,2,0,0,1,0,0,0
Jeremy Butler,2016,SDG,WR,25,4,0,2,2,0,0,0,0,0,0,11,0,1,0,0,0
Derek Carrier,2016,WAS,TE,26,8,0,2,2,0,0,0,0,0,0,10,0,1,0,0,0
Gerald Christian,2016,BUF,TE,25,3,0,2,1,0,0,0,0,0,0,14,0,1,0,0,0
Chase Daniel,2016,PHI,QB,30,1,0,0,0,16,0,1,0,0,0,0,0,1,0,0,0
Alex Ellis,2016,JAX,TE,23,6,3,4,3,0,0,0,0,0,0,11,0,1,0,0,0
David Fales,2016,CHI,QB,26,1,0,0,0,22,0,5,0,0,1,0,0,1,0,1,0
George Farmer,2016,SEA,RB,23,2,0,3,1,0,0,0,1,0,1,4,0,1,0,0,0
Rashad Greene,2016,JAX,WR,24,8,0,8,5,0,0,0,0,0,0,32,0,1,0,4,1
Je'Ron Hamm,2016,SFO,TE,24,5,0,4,2,0,0,0,0,0,0,13,0,1,0,0,0
Ryan Hewitt,2016,CIN,TE,25,16,11,3,2,0,0,0,0,0,0,13,0,1,0,0,0
Bronson Hill,2016,JAX,RB,23,3,0,1,0,0,0,0,11,0,2,0,0,1,0,0,0
Henry Krieger-Coble,2016,DEN,TE,24,2,0,1,1,0,0,0,0,0,0,13,0,1,0,0,0
Paul Lasike,2016,CHI,RB,26,10,3,1,1,0,0,0,8,0,3,3,0,1,0,0,0
Terrence Magee,2016,SEA,RB,23,2,0,0,0,0,0,0,12,0,3,0,0,1,0,0,0
Chris Manhertz,2016,2TM,TE,24,7,2,1,1,0,0,0,0,0,0,10,0,1,0,0,0
Paul McRoberts,2016,LAR,WR,24,2,0,1,1,0,0,0,0,0,0,6,0,1,0,0,0
Raheem Mostert,2016,2TM,RB,24,3,0,0,0,0,0,0,6,0,1,0,0,1,0,0,0
Matthew Mulligan,2016,DET,TE,31,8,0,1,1,0,0,0,0,0,0,8,0,1,0,0,0
Roosevelt Nix,2016,PIT,RB,24,10,2,2,2,0,0,0,0,0,0,5,0,1,0,0,0
MyCole Pruitt,2016,2TM,TE,24,4,0,2,2,0,0,0,0,0,0,13,0,1,0,0,0
Daryl Richardson,2016,PIT,RB,26,3,0,0,0,0,0,0,7,0,2,0,0,1,0,0,0
Stevan Ridley,2016,ATL,RB,27,1,0,0,0,0,0,0,7,0,3,0,0,1,0,0,0
Rashad Ross,2016,WAS,WR,26,5,0,1,1,0,0,0,0,0,0,8,0,1,0,0,0
Anthony Sherman,2016,KAN,RB,28,16,3,6,4,0,0,0,0,0,0,11,0,1,0,0,0
Lorenzo Taliaferro,2016,BAL,RB,25,3,0,3,3,0,0,0,0,0,1,10,0,1,0,0,0
Stepfan Taylor,2016,ARI,RB,25,15,0,0,0,0,0,0,12,0,4,0,0,1,0,0,0
Tony Washington,2016,JAX,WR,24,2,0,1,1,0,0,0,0,0,0,9,0,1,0,0,0
Mario Alford,2016,CLE,,24,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Joique Bell,2016,2TM,RB,30,7,0,1,1,0,0,0,6,0,3,-2,0,,0,0,0
Braedon Bowman,2016,NYJ,,22,3,0,1,0,0,0,0,0,0,0,0,0,,0,,0
